KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
S0289,"Skill in using multiple search engines (e.g., Google, Yahoo, LexisNexis, DataStar) and tools in conducting open-source searches.",,7.1.4, , , , , ,"3,1",6, 
S0290,Skill in using non-attributable networks.,,6.2.2, , , , , , ,6, 
S0291,"Skill in using research methods including multiple, different sources to reconstruct a target network.",,6.2.2, , , , , , ,4.1.6, 
S0292,Skill in using targeting databases and software packages.,,3.5.3, , , , , , ,6, 
S0293,"Skill in using tools, techniques, and procedures to remotely exploit and establish persistence on a target.",,6.2.2, , , , , , ,2.3.3, 
S0294,Skill in using trace route tools and interpreting the results as they apply to network analysis and reconstruction.,,4.1.2, , , ,"3.2, 6.4, 7.1.2", , ,6,"1.3.4, 2.8.2"
S0295,"Skill in using various open source data collection tools (online trade, DNS, mail, etc.).",,"7,3", , , , , ,"7,7",6, 
S0296,"Skill in utilizing feedback to improve processes, products, and services.",,"6,1", ,5.3.9,"1, 2", , , ,2.3.3, 
S0297,"Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint).",,6.2.2,"4.4, 6.1.5", , , , , , ,3.1.4
S0298,"Skill in verifying the integrity of all files. (e.g., checksums, Exclusive OR, secure hashes, check constraints, etc.).",,8.2.1, , , ,"5,1", , ,3.1.1,2.3.2
S0299,"Skill in wireless network target analysis, templating, and geolocation.",,6.2.2, , , ,"3.2, 6.4, 7.1.2", , ,6,"1.3.4, 2.8.2"
S0300,Skill in writing (and submitting) requirements to meet gaps in technical capabilities.,,"6,1", , , , , , ,6.5.3, 
S0301,"Skill in writing about facts and ideas in a clear, convincing, and organized manner.",,"6,1", , , , ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0302,Skill in writing effectiveness reports.,,"6,1", ,3.3.5,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6.6.5, 
S0303,"Skill in writing, reviewing and editing cyber-related Intelligence/assessment products from multiple sources.",,"6,1", , , , ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0304,"Skill to access information on current assets available, usage.",,"2,1", , , , ,1.2.1, ,3.1.1, 
S0305,Skill to access the databases where plans/directives/guidance are maintained.,,3.5.3, , , , , , ,"5.2.1, 5.3.4",2.6.1
S0306,Skill to analyze strategic guidance for issues requiring clarification and/or additional guidance.,,1.2.1, , , , , , , , 
S0307,Skill to analyze target or threat sources of strength and morale.,,"1,10", , , , , , ,"3.1.1, 6.1.6",1.3.6
S0308,Skill to anticipate intelligence capability employment requirements.,,"1,8", , , , , , , , 
S0309,Skill to anticipate key target or threat activities which are likely to prompt a leadership decision.,,"1,8", , , , , , ,"3.1.1, 6.1.6",1.3.6
S0310,Skill to apply analytical standards to evaluate intelligence products.,,"7,3", , , , , , , , 
S0311,"Skill to apply the capabilities, limitations and tasking methodologies of available platforms, sensors, architectures and apparatus as they apply to organization objectives.",,1.2.1, , , , , , , , 
S0312,Skill to apply the process used to assess the performance and impact of cyber operations.,,"7,5", , ,"4.2, 6.4", ,"1, 2, 3, 4, 5, 6, 7", ,"2.3.3, 6.1.4", 
S0313,"Skill to articulate a needs statement/requirement and integrate new and emerging collection capabilities, accesses and/or processes into collection operations.",,1.2.1, , , , , ,"7,7","5.2.1, 5.3.4, 5.4.2",2.6.1
S0314,Skill to articulate intelligence capabilities available to support execution of the plan.,,"7,5", , , , , , , , 
S0315,Skill to articulate the needs of joint planners to all-source analysts.,,1.2.1, , , , , , , , 
S0316,Skill to associate Intelligence gaps to priority information requirements and observables.,,"7,3", , , , , , ,6.5.3, 
S0317,Skill to compare indicators/observables with requirements.,,"7,5", , , , , ,"2,1", , 
S0318,Skill to conceptualize the entirety of the intelligence process in the multiple domains and dimensions.,,"7,5", , , , , , , , 
S0319,Skill to convert intelligence requirements into intelligence production tasks.,,"7,5", , , , , , , , 
S0320,Skill to coordinate the development of tailored intelligence products.,,"7,5", , , , , , , , 
S0321,Skill to correlate intelligence priorities to the allocation of intelligence resources/assets.,,"7,5", , , , , , , , 
S0322,Skill to craft indicators of operational progress/success.,,"7,3", , , , , , , , 
S0323,Skill to create and maintain up-to-date planning documents and tracking of services/production.,,1.2.1, ,"3,1", , , , , , 
S0324,Skill to determine feasibility of collection.,,"7,3", , , , , ,"7,7", , 
S0325,Skill to develop a collection plan that clearly shows the discipline that can be used to collect the information needed.,,"7,3", , , , , ,"7,7", , 
S0326,Skill to distinguish between notional and actual resources and their applicability to the plan under development.,,1.2.1, ,3.3.3, , , , , , 
S0327,Skill to ensure that the collection strategy leverages all available resources. ,,1.2.1, , , , , ,"7,7",3.1.1, 
S0328,"Skill to evaluate factors of the operational environment to objectives, and information requirements.",,1.2.1, , , , , , , , 
S0329,Skill to evaluate requests for information to determine if response information exists.,,"1,4", , , , , , , , 
S0330,"Skill to evaluate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities. ",,"7,3", , , , , ,"7,7", , 
S0331,Skill to express orally and in writing the relationship between intelligence capability limitations and decision-making risk and impacts on the overall operation.,,"1,9", , , , ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0332,Skill to extract information from available tools and applications associated with collection requirements and collection operations management.,,7.1.3, , , , , ,"7,7",3.1.1, 
S0333,Skill to graphically depict decision support materials containing intelligence and partner capability estimates.,,"7,3", , , , , , ,"1,2", 
S0334,"Skill to identify and apply tasking, collection, processing, exploitation and dissemination to associated collection disciplines. ",,"7,3", , , , , ,"7,7", , 
S0335,Skill to identify Intelligence gaps.,,"7,3", , , , , , ,6.5.3, 
S0336,Skill to identify when priority information requirements are satisfied.,,7.7.1, , , , , , , , 
S0337,Skill to implement established procedures for evaluating collection management and operations activities.,,"7,3", , , , , ,"7,7",2.3.3, 
S0338,Skill to interpret planning guidance to discern level of analytical support required.,,7.1.3, , , , , , , , 
S0339,"Skill to interpret readiness reporting, its operational relevance and intelligence collection impact.",,"7,3", , , , , ,"7,7", , 
S0340,Skill to monitor target or threat situation and environmental factors.,,6.2.2, , , , , ,"3,1","3.1.1, 5.2.4, 6.1.6",1.3.6
S0341,Skill to monitor threat effects to partner capabilities and maintain a running estimate.,,1.10.1, , , , , , ,"3.1.1, 5.2.4, 6.1.6",1.3.6
S0342,"Skill to optimize collection system performance through repeated adjustment, testing, and re-adjustment.",,"7,3", , , , , ,"5,2", , 
S0343,"Skill to orchestrate intelligence planning teams, coordinate collection and production support, and monitor status.",,"7,3", , , , , , ,5.2.4, 
S0344,"Skill to prepare and deliver reports, presentations and briefings, to include using visual aids or presentation technology.",,"7,3", , ,"1, 1.6, 1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,6, 
S0345,Skill to relate intelligence resources/assets to anticipated intelligence requirements.,,"7,3", , , , , , , , 
S0346,Skill to resolve conflicting collection requirements.,,"7,3", , , , , ,"2,1", , 
S0347,Skill to review performance specifications and historical information about collection assets.,,"7,3", , , , , ,"7,7", , 
S0348,Skill to specify collections and/or taskings that must be conducted in the near term.,,"7,3", , , , , ,"7,7", , 
S0349,Skill to synchronize operational assessment procedures with the critical information requirement process.,,"7,5", , , , , , ,"2.3.3, 6", 
S0350,Skill to synchronize planning activities and required intelligence support.,,"7,5", , , , , , , , 
S0351,"Skill to translate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities.",,"7,5", , , , , ,"7,7", , 
S0352,Skill to use collaborative tools and environments for collection operations.,,7.3.2, , , , , ,"7,7", , 
S0353,Skill to use systems and/or tools to track collection requirements and determine if they are satisfied.,,7.3.2, , , , , ,"7,7", , 
S0354,Skill in creating policies that reflect the business’s core privacy objectives.,,"1,6","2.2.2, 2.5, 2.7.4", ,"1.4.3, 6.1.1", ,1.2.2,"2,3","2.3, 4.3.1","2.7, 6.2"
S0355,Skill in negotiating vendor agreements and evaluating vendor privacy practices.,,1.3.2, , ,"1, 3.2.2, 3.2.3", , ,"2,3","1.2.1, 3.3.3, 4.3.1, 7","1.4.4, 6.4.7"
S0356,"Skill in communicating with all levels of management including Board members (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience). ",,1.2.3, , ,1, , ,"1,1",6,3.1.6
S0357,Skill to anticipate new security threats.,,"1,10","4.2, 6.5",3.1.4,"2,2","3.3, 5.3.3, 7.1",7,"3,1",6.1.6,1.3.6
S0358,Skill to remain aware of evolving technical infrastructures.,,"7,4","2, 3", ,"2,2", , ,"3,1",6, 
S0359,Skill to use critical thinking to analyze organizational patterns and relationships.,,1.2.2, , ,1,6, ,"1,1",6, 
S0360,Skill to analyze and assess internal and external partner cyber operations capabilities and tools.,,"3,3", , ,1, , ,"8,1","1.2, 7", 
S0361,Skill to analyze and assess internal and external partner intelligence processes and the development of information requirements and essential information.,,"6.5, 6.5.3, 7.3", , , , , , ,"1.2, 2.3.3, 7", 
S0362,"Skill to analyze and assess internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities).",,"6.5, 6.5.3, 7.3", , ,1, , ,"7,7","1.2, 7", 
S0363,Skill to analyze and assess internal and external partner reporting.,,"6.4, 6.5.3", , ,1, , ,"8,1","1.2, 6, 7", 
S0364,Skill to develop insights about the context of an organization’s threat environment,,"1,10",4, ,"1, 3, 4","3.2, 7.1.2", ,"3,1","3.1.1, 6.1.6",1.3.6
S0365,Skill to design incident response for cloud service models.,,"3.5.6, 7.7","2.6, 4.4 ","3,3","4,2","3.3, 3.3.4, 4, 7.3","3.4, 5.2.2","7,8","5.3.12, 7.7","1.2.3, 1.4.5, 5.4.5, 5.7.4"
S0366,Skill to identify successful capabilities to find solutions to less common and more complex system problems.,,"7,5","2.1, 3.1", ,1, , , , , 
S0367,"Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",,"1,1","1, 2, 3, 4, 5, 6", ,1,"2,2","1.2, 1.2.2, 2.2.2","1,1","3.1.1, 4.3.1","1.2.5, 2.8.3, 6.2"
S0368,"Skill to use risk scoring to inform performance-based and cost-effective approaches to help organizations to identify, assess, and manage cybersecurity risk.",,"3,3",4, ,3,"3.1, 3.2","1,2, 3, 4, 5, 6, 7","7,6",6,"1.4.3, 3.3, 3.5.1, 6.4"
S0369,"Skill to identify sources, characteristics, and uses of the organization’s data assets.",,"2,1", , ,"1, 2", ,"1.1.4, 2.1, 2.1.1, 2.1.2, 2.1.3", ,"1.3.2, 6.1.1", 
S0370,Skill to use cyber defense Service Provider reporting structure and processes within one’s own organization.,,7.8.4, , ,1, ,"7, 7.2.1, 7.3", ,"2.3.3, 6, 7", 
S0371,Skill to respond and take local actions in response to threat sharing alerts from service providers.,,7.8.4, , ,4,"3.1, 3.2","7.3.1, 7.3.2, 7.3.3","3,1","3.1.1, 6.1.6",1.3.6
S0372,"Skill to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise.",,"7,3", , , , , ,"7,7", , 
S0373,Skill to ensure that accountability information is collected for information system and information and communications technology supply chain infrastructure components.,,"1,11", ,5.1.3,"3.2.2, 3.2.3", , ,"8,1","5.3.6, 6.6.5","4.5.2, 6.5.4"
S0374,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.,,"1,11", , ,"1, 6.1.1","2.5, 3.2, 7.1.2","1.1, 1.2.1, 1.2.2","8,1","1.2, 4.3.1, 7","6,2"
,,, , , , , , , , , 
Abilities,,, , , , , , , , , 
A0001,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.,,"6,2",4.2.1,"1.4, 3.5.1","2.3, 3.1.6, 3.2","3.2, 7.1.2","5.3, 5.4, 6.1, 7.3","7,9","5.2.5, 6.1.7",2.8.2
A0002,Ability to match the appropriate knowledge repository technology for a given application or environment.,,"1,12", , ,1, , , , , 
A0003,Ability to determine the validity of technology trend data.,,1.9.7, , ,2, , ,"3,1", , 
A0004,Ability to develop curriculum that speaks to the topic at the appropriate level for the target audience.,,"1,12", , ,"1,6", , , ,6, 
A0005,Ability to decrypt digital data collections.,,"3,9", , , ,5.1.7, ,"7,7",6, 
A0006,"Ability to prepare and deliver education and awareness briefings to ensure that systems, network, and data users are aware of and adhere to systems security policies and procedures.",,"1,12", , ,"1,6","2,7", , ,"2.3, 5.2.3, 5.3.7","2,7"
A0007,Ability to tailor code analysis for application-specific concerns.,,"7,2", , , , , ,"4,2", ,2.8.2
A0008,"Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF]).",,7.1.2,"5,1","3,3","1.4, 6.3", , ,6.9.3,"2, 4.3",1.5.1
A0009,Ability to apply supply chain risk management standards.,,"1,11", ,5.1.3,"1.7.2, 2.3.4, 3, 3.2.3","2,4", ,"8,1","2.3.2, 6.1.9, 6.3","4.5.2, 6.5.4"
A0010,Ability to analyze malware.,,7.1.4, , , ,"7,1", ,3.1.1,6, 
A0011,Ability to answer questions in a clear and concise manner.,,7.1.2, , ,1, , ,"1,1",6, 
A0012,Ability to ask clarifying questions.,,7.1.3, , ,"1, 3.1.1", , ,"1,1",6, 
A0013,"Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. ",,7.1.2, , ,"1, 3.1.1", ,"1.1.4, 1.2.1,2.1, 2.1.1, 2.1.2, 2.1.3, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2","1,1",6, 
A0014,Ability to communicate effectively when writing.,,7.1.2, , ,"1, 3.1.1", ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2","1,1",6, 
A0015,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.,,"6,2","5.2.4, 6.5","1.4, 3.5.1","2.3, 3.1.6, 3.2","3,2","5.2, 5.4.3,  7.3","3.1, 5.2","5.2.5, 6.1.7", 
A0016,Ability to facilitate small group discussions.,,"1,9", , ,"1,6", , ,6.9.4,"5.2.3, 5.3.7", 
A0017,Ability to gauge learner understanding and knowledge level.,,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
A0018,Ability to prepare and present briefings.,,7.1.2, , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2","1,1","5.2.3, 5.3.7", 
A0019,Ability to produce technical documentation.,,7.1.2, ,"3.2.5, 5.3", , ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2","1,1",6, 
A0020,Ability to provide effective feedback to students for improving learning.,,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
A0021,"Ability to use and understand complex mathematical concepts (e.g., discrete math).",,1.9.7, , , , , , , , 
A0022,Ability to apply principles of adult learning.,,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
A0023,Ability to design valid and reliable assessments.,,7.3.3, , ,"1,6", ,"1, 2, 3, 4, 5, 6, 7","3,4","6.2, 6.3.7", 
A0024,Ability to develop clear directions and instructional materials.,,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
A0025,"Ability to accurately define incidents, problems, and events in the trouble ticketing system.",,7.3.1,"2,6", ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4","3.3, 4","7,3","7,8",5.3.12,"2.8, 5.4"
A0026,Ability to analyze test data.,,"6,1", , ,4, ,"4.2.3, 5.1.5","5,4",6, 
A0027,Ability to apply an organization's goals and objectives to develop and maintain architecture.,,1.2.1,"1.1, 2.1", ,"1, 2", , ,"1,1",6, 
A0028,Ability to assess and forecast manpower requirements to meet organizational objectives.,,"1,8", , ,1, , , , , 
A0029,Ability to build complex data structures and high-level programming languages.,,8.1.1, , , , , ,3.7.7, ,"2,4"
A0030,"Ability to collect, verify, and validate test data.",,"6,1", , ,1, ,"4.2.3, 5.1.5","5,7",6, 
A0031,Ability to conduct and implement market research to understand government and industry capabilities and appropriate pricing.,,1.2.1, , ,"1, 2", , , ,"2.1, 2.2, 2.3, 4.1.6", 
A0032,Ability to develop curriculum for use within a virtual environment.,,"1,12", , ,"1,6", , , , ,3.1.4
A0033,"Ability to develop policy, plans, and strategy in compliance with laws, regulations, policies, and standards in support of organizational cyber activities.",,"1.2, 1.2.1, 1.4, 1.6","4.1, 4.2.2", ,"4.2, 6, 6.2", ,"1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.3, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,"2.3, 4.2.2, 7","1.5.1, 2.7"
A0034,"Ability to develop, update, and/or maintain standard operating procedures (SOPs).",,"6,3", ,4.1.1,1, ,"1.2.1, 3.4, 5.1.6, 6.1, 6.1.3,  7.3.2", ,"2,3", 
A0035,Ability to dissect a problem and examine the interrelationships between data that may appear unrelated.,,6.2.7, , ,"1, 2, 3, 4", , , ,6, 
A0036,Ability to identify basic common coding flaws at a high level.,,"8,1",6, , , , ,"4,2",6.1.7, 
A0037,Ability to leverage best practices and lessons learned of external organizations and academic institutions dealing with cyber issues.,,"7.6, 7.7.7", ,1.4.4,"1, 2, 3, 4", , , ,"5.2.3, 5.3.7, 7", 
A0038,Ability to optimize systems to meet enterprise performance requirements.,,6.3.3, , ,2, , , ,6,"1.2.5, 5.3.4"
A0039,Ability to oversee the development and update of the life cycle cost estimate.,,"8,1", , ,2, , ,"6,6","1.3.1, 3.2", 
A0040,Ability to translate data and test results into evaluative conclusions.,,"6,4", , ,"1, 2", , ,"5,4",6, 
A0041,"Ability to use data visualization tools (e.g., Flare, HighCharts, AmCharts, D3.js, Processing, Google Visualization API, Tableau, Raphael.js).",,"1.9.9, 6.4, 7.1.2, 7.7.4", , , , , , , , 
A0042,Ability to develop career path opportunities.,,1.2.3, , ,1, , , , , 
A0043,Ability to conduct forensic analyses in and for both Windows and Unix/Linux environments.,,7.1.4, , , , , ,"7,8",6,"5,5"
A0044,"Ability to apply programming language structures (e.g., source code review) and logic.",,8.5.1,6, , , , ,3.7.7, , 
A0045,Ability to evaluate/ensure the trustworthiness of the supplier and/or product.,,"1,11","4.2, 4.3","5.1.1, 5.1.2","1.7.2, 2.3.4, 3","3.2, 7.1.2", ,"8,1",6, 
A0046,"Ability to monitor and assess the potential impact of emerging technologies on laws, regulations, and/or policies.",,"1,4","2.2, 3.5","2,2","1.7.2, 2.3.4, 3","3.3.4, 4.2.1, 5.2.4, 7.3.4","1.3, 1.3.1, 1.3.2, 1.3.3",6.9.1,"2.3, 4.2.2","1.5.1, 2.7"
A0047,"Ability to develop secure software according to secure software deployment methodologies, tools, and practices.",,"8,5",6, ,2,"7.1, 7.2, 7.3, 7.4", ,"1,2", , 
A0048,"Ability to apply network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",,"4,1","2,7",1.3.2,"2,2",6,"1.1.4, 2.1, 2.1.1, 2.1.2", ,6,1.3.4
A0049,"Ability to apply secure system design tools, methods and techniques.",,"3,1",3,"3,3",2," 1.1, 1.4, 2.3, 2.5, 3.1.3, 6.3", ,"1,2",6, 
A0050,"Ability to apply system design tools, methods, and techniques, including automated systems analysis and design tools.",,"3,5","2, 3","3,3",2," 1.1, 1.4, 2.3, 2.5, 3.1.3, 6.3", ,"1,2",6,2.8.2
A0051,Ability to execute technology integration processes.,,"7,6","2.5, 3.5, 3.6, 6.1","3,4","2.1, 2.2",2.6.1, ,"4,7",5.4.2, 
A0052,"Ability to operate network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware.",,"4,1","2,7", , ,6, , ,"6, 7.2.2",1.3.4
A0053,Ability to determine the validity of workforce trend data.,,"1,8", , , , , , ,6, 
A0054,Ability to apply the Instructional System Design (ISD) methodology.,,"1,12", , ,"1,6", , , , , 
A0055,"Ability to operate common network tools (e.g., ping, traceroute, nslookup).",,4.1.2,2, , ,"3.2, 7.1.2", ,"7,8",6,1.3.4
A0056,Ability to ensure security practices are followed throughout the acquisition process.,,1.2.2, ,"5,1",2,"2,4",1.1.3,"8,1",2.3.3, 
A0057,Ability to tailor curriculum that speaks to the topic at the appropriate level for the target audience.,,"1,12", , ,"1,6", , , , , 
A0058,"Ability to execute OS command line (e.g., ipconfig, netstat, dir, nbtstat).",,4.1.2, , , , , ,"7,8",6, 
A0059,Ability to operate the organization's LAN/WAN pathways.,,4.1.1,2, , , , , ,6, 
A0060,Ability to build architectures and frameworks.,,"3,3",2,"3,3","1.4, 6.3", ,1.1.2,"3,9","4,3", 
A0061,Ability to design architectures and frameworks.,,"3,1",2,"3,3","1.4, 6.3", ,1.1.2,"3,9","4,3", 
A0062,Ability to monitor measures or indicators of system performance and availability.,,6.3.3,"2.2, 3.5",5.3.8,"1, 2, 5","2.2.3, 3.3, 3.4", ,"7,7",5.2.4,"1.2.5, 5.3.4"
A0063,"Ability to operate different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts).",,4.3.4,2, , , , ,3.2.5, , 
A0064,Ability to interpret and translate customer requirements into operational capabilities. ,,"3,3", ,"3.1, 3.2",1, , ,"2,1", , 
A0065,Ability to monitor traffic flows across the network.,,7.3.3,"2.2, 3.5", , , , ,"7,7","1.3.1, 5.2.4", 
A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products.",,"7,3", , , , , , ,5.3.5, 
A0067,"Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment.",,"1,5", , ,1, , ,"1,1", , 
A0068,Ability to apply approved planning development and staffing processes.,,"1,8", , ,1, , , ,2.3.3, 
A0069,Ability to apply collaborative skills and strategies.,,1.12.1, , ,1, , , , , 
A0070,Ability to apply critical reading/thinking skills.,,"1,1", , ,1, , ,"1,1", , 
A0071,Ability to apply language and cultural expertise to analysis.,,1.9.2, , ,1, , , , , 
A0072,Ability to clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes.,,1.9.7, , ,1, , ,7.8.1,4.1.6, 
A0073,Ability to clearly articulate intelligence requirements into well-formulated research questions and requests for information.,,1.9.7, , ,1, , , ,4.1.6, 
A0074,Ability to collaborate effectively with others.,,1.9.9, , ,1, , , , , 
A0075,"WITHDRAWN: Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means.",X, ,X,X,X, , , , , 
A0076,Ability to coordinate and collaborate with analysts regarding surveillance requirements and essential information development.,,1.9.7, , ,1, , , , , 
A0077,Ability to coordinate cyber operations with other organization functions or support activities.,,1.2.3, , ,1, ,"1.2.3, 4.1.2", ,"6, 7", 
A0078,"Ability to coordinate, collaborate and disseminate information to subordinate, lateral and higher-level organizations.",,1.2.1, , ,1, , , ,7, 
A0079,Ability to correctly employ each organization or element into the collection plan and matrix.,,"7,3", , , , , ,"7,7",7, 
A0080,Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.,,"3.3, 6.1, 7.5", , ,1, , , , , 
A0081,Ability to develop or recommend planning solutions to problems and situations for which no precedent exists.,,"3.3, 6.1, 7.5", , ,"1, 2", , , , , 
A0082,Ability to effectively collaborate via virtual teams.,,1.9.9,"1, 2, 3, 4, 5, 6", ,1, , , ,6,3.1.4
A0083,"Ability to evaluate information for reliability, validity, and relevance.",,1.9.9,"1, 2, 3, 4, 5, 6", , , , , ,6, 
A0084,"Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products.",,"7.3, 7.3.2", , , , , , ,5.3.5, 
A0085,Ability to exercise judgment when policies are not well-defined.,,1.2.1,"2.2.2, 2.5, 2.7.4", ,1, , , ,"2,3", 
A0086,Ability to expand network access by conducting target analysis and collection to identify targets of interest.,,6.2.2, , , ,"3.2, 7.1.2", ,"7,7","5.2.1, 5.3.4, 6.1.1", 
A0087,Ability to focus research efforts to meet the customer’s decision-making needs.,,1.2.1, , ,1, , ,6.9.4,4.1.6, 
A0088,"Ability to function effectively in a dynamic, fast-paced environment.",,"1.2.3, 1.9.10", , ,1, , ,"1,1", , 
A0089,"Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.",,1.9.10, , ,1, ,"1.2.3, 4.1.2","1,1","6, 7", 
A0090,Ability to identify external partners with common cyber operations interests.,,6.1.3, , ,1, ,"1.2.3, 4.1.2", ,"1.2, 7","5,6"
A0091,Ability to identify intelligence gaps.,,"7,3", , , , , , ,6.5.3, 
A0092,Ability to identify/describe target vulnerability.,,6.2.2, , ,"2.3, 3.2", , , ,"5.2.5, 6.1.7", 
A0093,Ability to identify/describe techniques/methods for conducting technical exploitation of the target.,,6.2.2, , , , , , , , 
A0094,"Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives.",,"1,4",4, ,"1, 4.2, 6, 6.2", ,"1,3",6.9.1,"2.3, 4.2.2", 
A0095,Ability to interpret and translate customer requirements into operational action.,,1.2.1, , ,1, ,1.1.3, ,6, 
A0096,Ability to interpret and understand complex and rapidly evolving concepts.,,1.2.2, , ,1, , ,"1,1", , 
A0097,Ability to monitor system operations and react to events in response to triggers and/or observation of trends or unusual activity. ,,7.7.1,"2,2", ,"1, 2.1, 3", ,7,"7,8","5.2.4, 5.3.12", 
A0098,"Ability to participate as a member of planning teams, coordination groups, and task forces as necessary.",,1.2.1, , ,1, , , ,6, 
A0099,"Ability to perform network collection tactics, techniques, and procedures to include decryption capabilities/tools.",,"6.2.2, 7.1.4", , , , , ,"7,7",2.3.3, 
A0100,Ability to perform wireless collection procedures to include decryption capabilities/tools.,,"6.2.2, 7.1.4", , , , , ,"7,7",2.3.3, 
A0101,Ability to recognize and mitigate cognitive biases which may affect analysis.,,"1.9.2, 1.9.7", , ,1, , ,"7,7",6.6.1, 
A0102,Ability to recognize and mitigate deception in reporting and analysis.,,"1.9.2, 1.9.7", , ,"1, 1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4 ", ,7,"7,7","6.6.1, 6.6.5", 
A0103,Ability to review processed target language materials for accuracy and completeness.,,6.2.2, , , , , , ,5.3.5, 
A0104,Ability to select the appropriate implant to achieve operational goals.,,1.2.1, , ,1, , , , , 
A0105,Ability to tailor technical and planning information to a customer’s level of understanding.,,1.9.9,"1, 2, 3, 4, 5, 6", ,1, , , ,6, 
A0106,Ability to think critically.,,"1,9","1, 2, 3, 4, 5, 6", ,1,7, ,"1,1",6, 
A0107,Ability to think like threat actors.,,"1,10","1, 2, 3, 4, 5, 6", ,6,7, ,"3,1","3.1.1, 6.1.6",1.3.6
A0108,Ability to understand objectives and effects.,,1.2.1,"1, 2, 3, 4, 5, 6", ,1,7, ,"1,1",6, 
A0109,Ability to utilize multiple intelligence sources across all intelligence disciplines.,,"7,3", , , , , , ,6, 
A0110,Ability to monitor advancements in information privacy laws to ensure organizational adaptation and compliance.,,"1.4, 1.4.5","4.1, 4.2.2", ,"2.4.4, 4.2, 6, 6.2","3.3.4, 4.2.1, 5.2.4, 7.3.4","1.2.2, 1.3.2",6.9.1,"4.2.2, 4.3.1","1.5.1, 6.2"
A0111,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives. ",,"1.2, 1.2.1, 1.6", , ,1,"2.1, 2.2",1.2.2,"2,3","4,3", 
A0112,Ability to monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.,,1.4.5,"4.1, 4.2.2", ,"2.4.4, 6","3.3, 3.4",1.2.2,"2,3",4.3.1, 
